capturing 60s on Command|8:Command|8 MIDI 1 24:0 ...
note_on n=5 v=64                 -> FaderTouchEvent(fader=0, touched=True)
cc c=40 v=103                    -> FaderMoveEvent(fader=0, value=103, value10=829)
cc c=56 v=104                    -> FaderMoveEvent(fader=0, value=104, value10=839)
cc c=8 v=106                     -> FaderMoveEvent(fader=0, value=106, value10=849)
cc c=24 v=107                    -> FaderMoveEvent(fader=0, value=107, value10=859)
cc c=32 v=108                    -> FaderMoveEvent(fader=0, value=108, value10=868)
cc c=40 v=109                    -> FaderMoveEvent(fader=0, value=109, value10=877)
cc c=48 v=110                    -> FaderMoveEvent(fader=0, value=110, value10=886)
cc c=48 v=111                    -> FaderMoveEvent(fader=0, value=111, value10=894)
cc c=48 v=112                    -> FaderMoveEvent(fader=0, value=112, value10=902)
cc c=40 v=113                    -> FaderMoveEvent(fader=0, value=113, value10=909)
cc c=32 v=114                    -> FaderMoveEvent(fader=0, value=114, value10=916)
cc c=24 v=115                    -> FaderMoveEvent(fader=0, value=115, value10=923)
cc c=8 v=116                     -> FaderMoveEvent(fader=0, value=116, value10=929)
cc c=0 v=117                     -> FaderMoveEvent(fader=0, value=117, value10=936)
cc c=48 v=117                    -> FaderMoveEvent(fader=0, value=117, value10=942)
cc c=32 v=118                    -> FaderMoveEvent(fader=0, value=118, value10=948)
cc c=16 v=119                    -> FaderMoveEvent(fader=0, value=119, value10=954)
cc c=56 v=119                    -> FaderMoveEvent(fader=0, value=119, value10=959)
cc c=40 v=120                    -> FaderMoveEvent(fader=0, value=120, value10=965)
cc c=16 v=121                    -> FaderMoveEvent(fader=0, value=121, value10=970)
cc c=0 v=122                     -> FaderMoveEvent(fader=0, value=122, value10=976)
cc c=40 v=122                    -> FaderMoveEvent(fader=0, value=122, value10=981)
cc c=16 v=123                    -> FaderMoveEvent(fader=0, value=123, value10=986)
cc c=56 v=123                    -> FaderMoveEvent(fader=0, value=123, value10=991)
cc c=24 v=124                    -> FaderMoveEvent(fader=0, value=124, value10=995)
cc c=0 v=125                     -> FaderMoveEvent(fader=0, value=125, value10=1000)
cc c=40 v=125                    -> FaderMoveEvent(fader=0, value=125, value10=1005)
cc c=8 v=126                     -> FaderMoveEvent(fader=0, value=126, value10=1009)
cc c=32 v=126                    -> FaderMoveEvent(fader=0, value=126, value10=1012)
cc c=56 v=126                    -> FaderMoveEvent(fader=0, value=126, value10=1015)
cc c=56 v=127                    -> FaderMoveEvent(fader=0, value=127, value10=1023)
cc c=40 v=126                    -> FaderMoveEvent(fader=0, value=126, value10=1013)
cc c=16 v=126                    -> FaderMoveEvent(fader=0, value=126, value10=1010)
cc c=56 v=125                    -> FaderMoveEvent(fader=0, value=125, value10=1007)
cc c=16 v=125                    -> FaderMoveEvent(fader=0, value=125, value10=1002)
cc c=48 v=124                    -> FaderMoveEvent(fader=0, value=124, value10=998)
cc c=8 v=124                     -> FaderMoveEvent(fader=0, value=124, value10=993)
cc c=32 v=123                    -> FaderMoveEvent(fader=0, value=123, value10=988)
cc c=56 v=122                    -> FaderMoveEvent(fader=0, value=122, value10=983)
cc c=8 v=122                     -> FaderMoveEvent(fader=0, value=122, value10=977)
cc c=32 v=121                    -> FaderMoveEvent(fader=0, value=121, value10=972)
cc c=48 v=120                    -> FaderMoveEvent(fader=0, value=120, value10=966)
cc c=0 v=120                     -> FaderMoveEvent(fader=0, value=120, value10=960)
cc c=8 v=119                     -> FaderMoveEvent(fader=0, value=119, value10=953)
cc c=24 v=118                    -> FaderMoveEvent(fader=0, value=118, value10=947)
cc c=32 v=117                    -> FaderMoveEvent(fader=0, value=117, value10=940)
cc c=40 v=116                    -> FaderMoveEvent(fader=0, value=116, value10=933)
cc c=48 v=115                    -> FaderMoveEvent(fader=0, value=115, value10=926)
cc c=48 v=114                    -> FaderMoveEvent(fader=0, value=114, value10=918)
cc c=48 v=113                    -> FaderMoveEvent(fader=0, value=113, value10=910)
cc c=48 v=112                    -> FaderMoveEvent(fader=0, value=112, value10=902)
cc c=48 v=111                    -> FaderMoveEvent(fader=0, value=111, value10=894)
cc c=40 v=110                    -> FaderMoveEvent(fader=0, value=110, value10=885)
cc c=32 v=109                    -> FaderMoveEvent(fader=0, value=109, value10=876)
cc c=16 v=108                    -> FaderMoveEvent(fader=0, value=108, value10=866)
cc c=0 v=107                     -> FaderMoveEvent(fader=0, value=107, value10=856)
cc c=48 v=105                    -> FaderMoveEvent(fader=0, value=105, value10=846)
cc c=24 v=104                    -> FaderMoveEvent(fader=0, value=104, value10=835)
cc c=0 v=103                     -> FaderMoveEvent(fader=0, value=103, value10=824)
cc c=40 v=101                    -> FaderMoveEvent(fader=0, value=101, value10=813)
cc c=16 v=100                    -> FaderMoveEvent(fader=0, value=100, value10=802)
cc c=48 v=98                     -> FaderMoveEvent(fader=0, value=98, value10=790)
cc c=16 v=97                     -> FaderMoveEvent(fader=0, value=97, value10=778)
cc c=56 v=95                     -> FaderMoveEvent(fader=0, value=95, value10=767)
cc c=16 v=94                     -> FaderMoveEvent(fader=0, value=94, value10=754)
cc c=48 v=92                     -> FaderMoveEvent(fader=0, value=92, value10=742)
cc c=16 v=91                     -> FaderMoveEvent(fader=0, value=91, value10=730)
cc c=48 v=89                     -> FaderMoveEvent(fader=0, value=89, value10=718)
cc c=8 v=88                      -> FaderMoveEvent(fader=0, value=88, value10=705)
cc c=32 v=86                     -> FaderMoveEvent(fader=0, value=86, value10=692)
cc c=0 v=85                      -> FaderMoveEvent(fader=0, value=85, value10=680)
cc c=24 v=83                     -> FaderMoveEvent(fader=0, value=83, value10=667)
cc c=48 v=81                     -> FaderMoveEvent(fader=0, value=81, value10=654)
cc c=8 v=80                      -> FaderMoveEvent(fader=0, value=80, value10=641)
cc c=40 v=78                     -> FaderMoveEvent(fader=0, value=78, value10=629)
cc c=8 v=77                      -> FaderMoveEvent(fader=0, value=77, value10=617)
cc c=32 v=75                     -> FaderMoveEvent(fader=0, value=75, value10=604)
cc c=0 v=74                      -> FaderMoveEvent(fader=0, value=74, value10=592)
cc c=32 v=72                     -> FaderMoveEvent(fader=0, value=72, value10=580)
cc c=56 v=70                     -> FaderMoveEvent(fader=0, value=70, value10=567)
cc c=32 v=69                     -> FaderMoveEvent(fader=0, value=69, value10=556)
cc c=0 v=68                      -> FaderMoveEvent(fader=0, value=68, value10=544)
cc c=40 v=66                     -> FaderMoveEvent(fader=0, value=66, value10=533)
cc c=8 v=65                      -> FaderMoveEvent(fader=0, value=65, value10=521)
cc c=40 v=63                     -> FaderMoveEvent(fader=0, value=63, value10=509)
cc c=16 v=62                     -> FaderMoveEvent(fader=0, value=62, value10=498)
cc c=56 v=60                     -> FaderMoveEvent(fader=0, value=60, value10=487)
cc c=32 v=59                     -> FaderMoveEvent(fader=0, value=59, value10=476)
cc c=8 v=58                      -> FaderMoveEvent(fader=0, value=58, value10=465)
cc c=48 v=56                     -> FaderMoveEvent(fader=0, value=56, value10=454)
cc c=16 v=55                     -> FaderMoveEvent(fader=0, value=55, value10=442)
cc c=56 v=53                     -> FaderMoveEvent(fader=0, value=53, value10=431)
cc c=32 v=52                     -> FaderMoveEvent(fader=0, value=52, value10=420)
cc c=0 v=51                      -> FaderMoveEvent(fader=0, value=51, value10=408)
cc c=40 v=49                     -> FaderMoveEvent(fader=0, value=49, value10=397)
cc c=8 v=48                      -> FaderMoveEvent(fader=0, value=48, value10=385)
cc c=40 v=46                     -> FaderMoveEvent(fader=0, value=46, value10=373)
cc c=16 v=45                     -> FaderMoveEvent(fader=0, value=45, value10=362)
cc c=56 v=43                     -> FaderMoveEvent(fader=0, value=43, value10=351)
cc c=24 v=42                     -> FaderMoveEvent(fader=0, value=42, value10=339)
cc c=0 v=41                      -> FaderMoveEvent(fader=0, value=41, value10=328)
cc c=40 v=39                     -> FaderMoveEvent(fader=0, value=39, value10=317)
cc c=16 v=38                     -> FaderMoveEvent(fader=0, value=38, value10=306)
cc c=56 v=36                     -> FaderMoveEvent(fader=0, value=36, value10=295)
cc c=32 v=35                     -> FaderMoveEvent(fader=0, value=35, value10=284)
cc c=16 v=34                     -> FaderMoveEvent(fader=0, value=34, value10=274)
cc c=56 v=32                     -> FaderMoveEvent(fader=0, value=32, value10=263)
cc c=40 v=31                     -> FaderMoveEvent(fader=0, value=31, value10=253)
cc c=24 v=30                     -> FaderMoveEvent(fader=0, value=30, value10=243)
cc c=8 v=29                      -> FaderMoveEvent(fader=0, value=29, value10=233)
cc c=0 v=28                      -> FaderMoveEvent(fader=0, value=28, value10=224)
cc c=56 v=26                     -> FaderMoveEvent(fader=0, value=26, value10=215)
cc c=40 v=25                     -> FaderMoveEvent(fader=0, value=25, value10=205)
cc c=40 v=24                     -> FaderMoveEvent(fader=0, value=24, value10=197)
cc c=32 v=23                     -> FaderMoveEvent(fader=0, value=23, value10=188)
cc c=32 v=22                     -> FaderMoveEvent(fader=0, value=22, value10=180)
cc c=32 v=21                     -> FaderMoveEvent(fader=0, value=21, value10=172)
cc c=32 v=20                     -> FaderMoveEvent(fader=0, value=20, value10=164)
cc c=32 v=19                     -> FaderMoveEvent(fader=0, value=19, value10=156)
cc c=32 v=18                     -> FaderMoveEvent(fader=0, value=18, value10=148)
cc c=40 v=17                     -> FaderMoveEvent(fader=0, value=17, value10=141)
cc c=40 v=16                     -> FaderMoveEvent(fader=0, value=16, value10=133)
cc c=48 v=15                     -> FaderMoveEvent(fader=0, value=15, value10=126)
cc c=48 v=14                     -> FaderMoveEvent(fader=0, value=14, value10=118)
cc c=56 v=13                     -> FaderMoveEvent(fader=0, value=13, value10=111)
cc c=0 v=13                      -> FaderMoveEvent(fader=0, value=13, value10=104)
